"Date/Time","Internal Natural vent.","Mech Vent + Nat Vent + Infiltration","External Infiltration","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Miscellaneous","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","ac/h","kW","%","","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","-4.359492","0.7021266","-18.57773","32.33287","-0.6635426","2.260656","0","0.8583756","7.529163","0","0.5613534","-6.847966","19.44772","20.93772","20.19272","0.858376","0","18.89765","2.659595","2.659595","18.03927","9.0625",
"01.01.2002 02:00:00","-4.140414","0.7061267","-19.41382","33.36012","-0.6998571","3.811515","0","0.8583756","7.578228","0","1.892834","-6.836178","19.31166","20.75575","20.03371","0.858376","0","18.89765","4.484135","4.484135","18.03927","8.675",
"01.01.2002 03:00:00","-3.94572","0.7105744","-19.88756","34.12283","-0.728762","5.068493","0","0.8583756","7.618129","0","3.110322","-6.858927","19.18777","20.58779","19.88778","0.858376","0","18.89765","5.962933","5.962933","18.03927","8.475",
"01.01.2002 04:00:00","-3.72259","0.7118089","-20.1238","34.14911","-0.7597529","6.013308","0","0.8583756","7.655927","0","4.027334","-6.847979","19.07096","20.42787","19.74941","0.858376","0","18.89765","7.07448","7.07448","18.03927","8.3375",
"01.01.2002 05:00:00","-3.49116","0.7110921","-20.21897","33.93103","-0.7907124","6.782554","0","0.8583756","7.68968","0","4.776288","-6.821199","18.96418","20.27448","19.61933","0.858376","0","18.89765","7.979475","7.979475","18.03927","8.2375",
"01.01.2002 06:00:00","-0.17007","0.7655389","-28.72538","29.67444","-0.6168532","58.16317","0","0.8583756","7.211813","0","47.36322","-1.380169","21.00209","20.2386","20.62034","0.858376","0","18.89765","68.42725","68.42725","18.03927","8.1375",
"01.01.2002 07:00:00","-0.425626","0.7305293","-29.18393","29.36373","-0.531717","26.81142","40.34365","4.291878","5.615155","0","22.56898","-4.329592","21.12453","20.36738","20.74596","4.291878","40.34365","59.06694","31.54285","31.54285","14.43142","8.1",
"01.01.2002 08:00:00","-0.320393","0.6913028","-29.28647","28.98066","-0.5272018","28.34901","20.17183","8.583756","4.203701","0","25.16791","-3.232515","21.09535","20.38811","20.74173","8.583756","20.17183","39.57915","33.35178","33.35178","10.82356","8.1",
"01.01.2002 09:00:00","-0.135366","0.6424533","-28.61281","28.54097","-0.5307486","28.09786","20.17183","4.291878","2.811663","4.579565","25.74185","-1.865718","21.05541","20.46339","20.7594","4.291878","20.17183","31.67941","33.0563","33.0563","7.215708","8.225",
"01.01.2002 10:00:00","-0.872897","0.6186078","-25.50353","28.14229","-0.4819157","20.53266","20.17183","4.291878","2.794842","11.38924","18.5768","-2.030168","21.22439","20.80821","21.0163","4.291878","20.17183","31.67941","24.15607","24.15607","7.215708","9.1125",
"01.01.2002 11:00:00","-1.457466","0.5886176","-21.57199","27.99142","-0.4394301","14.57886","20.17183","4.291878","2.77397","17.18694","12.82783","-1.870494","21.3581","21.03831","21.19821","4.291878","20.17183","31.67941","17.1516","17.1516","7.215708","10.35",
"01.01.2002 12:00:00","-2.432879","0.6034375","-18.26388","27.40343","-0.3823272","7.21157","20.17183","8.583756","4.113846","19.5412","5.455784","-3.236377","21.60258","21.34307","21.47282","8.583756","20.17183","39.57915","8.484199","8.484199","10.82356","11.4875",
"01.01.2002 13:00:00","-2.689262","0.6215978","-15.83247","27.35028","-0.3517638","5.402753","20.17183","8.583756","5.447731","19.41459","3.837202","-4.581111","21.67749","21.48832","21.5829","8.583756","20.17183","43.187","6.356179","6.356179","14.43142","12.3375",
"01.01.2002 14:00:00","-2.569458","0.5657121","-14.52555","27.44769","-0.3435995","6.142074","20.17183","4.291878","4.086335","16.92996","4.524654","-2.758471","21.65354","21.56367","21.60861","4.291878","20.17183","35.28727","7.225969","7.225969","10.82356","12.7875",
"01.01.2002 15:00:00","-2.400025","0.5176136","-14.09935","27.39989","-0.3547224","7.098032","20.17183","4.291878","2.73037","14.80181","5.765907","-1.53511","21.61382","21.51117","21.56249","4.291878","20.17183","31.67941","8.350627","8.350627","7.215708","12.9",
"01.01.2002 16:00:00","-2.254302","0.5240763","-14.85719","27.58879","-0.3650339","8.744805","20.17183","4.291878","2.7371","11.04615","7.360349","-1.571219","21.56751","21.4654","21.51646","4.291878","20.17183","31.67941","10.28801","10.28801","7.215708","12.5875",
"01.01.2002 17:00:00","-2.324385","0.5832639","-16.60433","28.26977","-0.3708513","9.853901","20.17183","8.583756","4.108923","0.9917809","7.622168","-2.513455","21.57191","21.39548","21.4837","8.583756","20.17183","39.57915","11.59282","11.59282","10.82356","11.9625",
"01.01.2002 18:00:00","-2.219488","0.6417454","-18.19112","29.35676","-0.3705907","12.02172","20.17183","8.583756","5.483425","0","8.877442","-3.495233","21.5329","21.35958","21.44624","8.583756","20.17183","43.187","14.1432","14.1432","14.43142","11.45",
