"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Zone Heating","Task Lighting","General Lighting","Miscellaneous","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Heating (Gas)","Cooling (Electricity)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","kW","ac/h","kW","kW","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","°C",
"01/01/2002 01:00:00","-0.512509","0","0.3611093","-25.37406","0","0","0","0","2.948286","13.24627","0","0","-18.24541","20.70404","21.60694","21.15549","2.948286","0","0","0","26.55428","9.0625",
"01/01/2002 02:00:00","-0.896924","0","0.3622274","-25.76809","0","0","0","0","2.948286","13.35056","0","0","-18.60782","20.5036","21.47549","20.98955","2.948286","0","0","0","26.55428","8.675",
"01/01/2002 03:00:00","-1.143484","0","0.3637162","-25.97471","0","0","0","0","2.948286","13.41812","0","0","-18.76136","20.37201","21.36872","20.87037","2.948286","0","0","0","26.55428","8.475",
"01/01/2002 04:00:00","-1.370123","0","0.3644938","-26.00766","0","0","0","0","2.948286","13.47364","0","0","-18.84205","20.25924","21.27426","20.76675","2.948286","0","0","0","26.55428","8.3375",
"01/01/2002 05:00:00","-1.562782","0","0.3648578","-25.96329","0","0","0","0","2.948286","13.51911","0","0","-18.88481","20.16402","21.1882","20.67611","2.948286","0","0","0","26.55428","8.2375",
"01/01/2002 06:00:00","-3.571671","0","0.3701027","-26.87206","0","19.22351","0","0","2.948286","13.26142","0","10.94606","-11.97639","20.55642","21.14315","20.84979","2.948286","0","22.61589","0","26.55428","8.1375",
"01/01/2002 07:00:00","-2.636298","0","0.3479206","-29.77286","0","17.96607","0","75.58333","9.38091","10.31096","0","17.56066","-16.68807","21.22778","21.30358","21.26568","9.38091","75.58333","21.13656","0","21.24342","8.1",
"01/01/2002 08:00:00","-1.269186","0","0.4845539","-32.11095","0","0","48.24468","57.7328","29.48286","22.58449","0","0","-34.6394","21.64358","21.50289","21.57324","29.48286","105.9775","0","0","20.6312","8.1",
"01/01/2002 09:00:00","-1.109275","0","0.6150459","-31.36473","0","0","48.24468","57.7328","21.44208","34.62683","10.06921","0","-51.59122","21.56384","21.63663","21.60023","21.44208","105.9775","0","0","20.01897","8.225",
"01/01/2002 10:00:00","-0.161203","0","0.606186","-29.01245","0","0","48.24468","57.7328","21.44208","34.25215","34.44563","0","-50.07892","21.76933","21.85398","21.81165","21.44208","105.9775","0","0","20.01897","9.1125",
"01/01/2002 11:00:00","1.199166","0","0.5973502","-26.53833","0","0","48.24468","57.7328","21.44208","32.82734","47.99582","0","-48.21581","22.15425","22.08533","22.11979","21.44208","105.9775","0","0","20.01897","10.35",
"01/01/2002 12:00:00","1.48135","0","0.8443667","-30.15309","0","0.104544","48.24468","57.7328","29.48286","48.0381","52.66425","0","-66.8802","22.36849","22.30789","22.33819","29.48286","105.9775","0.122993","0","30.02846","11.4875",
"01/01/2002 13:00:00","2.401716","0","0.9722413","-38.40371","0","9.247536","48.24468","57.7328","29.48286","49.56504","55.2324","7.690844","-66.72876","22.4898","22.45098","22.47039","29.48286","105.9775","10.87945","0","35.33931","12.3375",
"01/01/2002 14:00:00","3.198606","0","0.8268144","-26.49038","0","0","48.24468","57.7328","21.44208","45.97329","60.98496","0","-63.87577","22.53478","22.59535","22.56507","21.44208","105.9775","0","0","30.02846","12.7875",
"01/01/2002 15:00:00","4.105071","0","0.8178931","-44.78555","0","10.29546","48.24468","57.7328","21.44208","29.42551","43.88524","8.730861","-44.32202","22.89918","22.6189","22.75904","21.44208","105.9775","12.11231","0","20.01897","12.9",
"01/01/2002 16:00:00","4.213591","0","0.7055013","-34.19493","0","7.076427","48.24468","57.7328","21.44208","29.06172","26.47936","6.65194","-45.82097","22.69652","22.57519","22.63586","21.44208","105.9775","8.325209","0","20.01897","12.5875",
"01/01/2002 17:00:00","3.420282","0","1.064509","-51.32651","0","14.57024","48.24468","57.7328","29.48286","45.57265","1.487014","14.21818","-67.30841","22.50599","22.4462","22.4761","29.48286","105.9775","17.14145","0","30.02846","11.9625",
"01/01/2002 18:00:00","1.394901","0","0.9751995","-23.80033","0","0","48.24468","57.7328","29.48286","63.53357","0","0","-89.6105","22.47921","22.41057","22.44489","29.48286","105.9775","0","0","40.03795","11.45",
"01/01/2002 19:00:00","1.26403","0","0.9771402","-43.5392","0","0","48.24468","100.5098","29.48286","50.28868","0","0","-73.58482","22.54773","22.47055","22.50914","29.48286","148.7544","0","0","35.33931","11.1125",
"01/01/2002 20:00:00","-0.143537","0","0.5176291","-47.1761","0","7.038636","4.824468","78.07597","17.42169","9.892389","0","5.754948","-13.47311","22.27917","22.3525","22.31583","17.42169","82.90044","8.280748","0","21.24342","10.8125",
"01/01/2002 21:00:00","-0.738466","0","0.4807058","-42.89883","0","4.839868","4.824468","78.07597","9.38091","9.80643","0","3.914711","-14.0443","22.23007","22.27301","22.25154","9.38091","82.90044","5.693963","0","21.24342","10.5125",
"01/01/2002 22:00:00","-0.893159","0","0.4772196","-38.46072","0","4.018155","4.824468","78.07597","9.38091","12.38001","0","2.63001","-16.96061","21.867","22.20774","22.03737","9.38091","82.90044","4.727241","0","26.55428","10.2125",
"01/01/2002 23:00:00","-0.466144","0","0.3612723","-25.02067","0","0.53488","4.824468","2.492642","9.38091","12.78827","0","0","-17.43464","21.38374","21.96017","21.67195","9.38091","7.31711","0.629271","0","26.55428","9.9125",
"02/01/2002","-0.136518","0","0.3608397","-24.88352","0","0","4.824468","2.492642","2.948286","13.06877","0","0","-17.7389","20.98082","21.76675","21.37379","2.948286","7.31711","0","0","26.55428","9.6125",
"02/01/2002 01:00:00","-0.469721","0","0.3617739","-25.13155","0","0","0","0","2.948286","13.24695","0","0","-18.05735","20.70959","21.60534","21.15746","2.948286","0","0","0","26.55428","9.1875",
"02/01/2002 02:00:00","-0.888957","0","0.3655618","-26.02627","0","0","0","0","2.948286","13.34764","0","0","-18.58589","20.50427","21.47203","20.98815","2.948286","0","0","0","26.55428","8.6875",
"02/01/2002 03:00:00","-1.228898","0","0.3691933","-27.04935","0","0","0","0","2.948286","13.43265","0","0","-19.14944","20.33343","21.35614","20.84479","2.948286","0","0","0","26.55428","8.1875",
"02/01/2002 04:00:00","-1.536251","0","0.3714008","-27.69034","0","0","0","0","2.948286","13.50718","0","0","-19.54762","20.18441","21.25028","20.71734","2.948286","0","0","0","26.55428","7.8125",
"02/01/2002 05:00:00","-1.805802","0","0.3728985","-28.14428","0","0","0","0","2.948286","13.56886","0","0","-19.85772","20.05714","21.15263","20.60488","2.948286","0","0","0","26.55428","7.5125",
"02/01/2002 06:00:00","-4.114111","0","0.3809198","-29.89","0","22.86277","0","0","2.948286","13.27807","0","13.31371","-12.20192","20.49732","21.10183","20.79957","2.948286","0","26.89738","0","26.55428","7.2125",
"02/01/2002 07:00:00","-2.684612","0","0.3599971","-33.92461","0","22.66143","0","75.58333","9.38091","10.34953","0","22.04596","-17.96432","21.16633","21.25842","21.21237","9.38091","75.58333","26.66051","0","21.24342","6.975",
"02/01/2002 08:00:00","-2.278765","0","0.4989385","-36.19097","0","0","48.24468","57.7328","29.48286","22.92364","0","0","-37.12797","21.41942","21.4411","21.43026","29.48286","105.9775","0","0","20.6312","6.775",
"02/01/2002 09:00:00","-2.354377","0","0.6313279","-35.8475","0","0","48.24468","57.7328","21.44208","35.59147","2.473934","0","-55.31522","21.24304","21.51213","21.37758","21.44208","105.9775","0","0","20.01897","6.7",
"02/01/2002 10:00:00","-2.029285","0","0.6284351","-35.13053","0","0","48.24468","57.7328","21.44208","35.72654","12.88434","0","-55.06137","21.25969","21.58859","21.42414","21.44208","105.9775","0","0","20.01897","6.8875",
"02/01/2002 11:00:00","-1.47277","0","0.6257531","-34.38257","0","0","48.24468","57.7328","21.44208","35.23557","22.20499","0","-54.77674","21.40094","21.69732","21.54913","21.44208","105.9775","0","0","20.01897","7.25",
