"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Relative Humidity","Fanger PMV","Zone Heating","Task Lighting","General Lighting","Miscellaneous","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","Cooling (Electricity)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","kW","ac/h","kW","kW","%","","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","0.312356","0","0.2223247","-2.356089","0","33.08233","-0.1263665","0","0","0","0.6514289","2.83855","0","0","-4.245726","21.94605","22.53114","22.2386","0.65143","0","6.518644","0","0","0","5.867214","9.0625",
"01.01.2002 02:00:00","0.295276","0","0.2229988","-2.407853","0","33.77194","-0.162106","0","0","0","0.6514289","2.858022","0","0","-4.336295","21.76317","22.40005","22.08161","0.65143","0","6.518644","0","0","0","5.867214","8.675",
"01.01.2002 03:00:00","0.285266","0","0.2237338","-2.437194","0","34.1516","-0.1873068","0","0","0","0.6514289","2.871356","0","0","-4.375043","21.63748","22.28924","21.96336","0.65143","0","6.518644","0","0","0","5.867214","8.475",
"01.01.2002 04:00:00","0.273975","0","0.224121","-2.447623","0","34.21614","-0.2116994","0","0","0","0.6514289","2.883087","0","0","-4.395385","21.52537","22.1885","21.85693","0.65143","0","6.518644","0","0","0","5.867214","8.3375",
"01.01.2002 05:00:00","0.262801","0","0.2243008","-2.448009","0","34.12696","-0.2343354","0","0","0","0.6514289","2.893035","0","0","-4.405953","21.42682","22.09518","21.761","0.65143","0","6.518644","0","0","0","5.867214","8.2375",
"01.01.2002 06:00:00","0.151197","0","0.2251116","-2.470346","0","33.72133","-0.239864","1.218253","0","0","0.6514289","2.879599","0","0.4342142","-3.71069","21.49363","22.01804","21.75584","0.65143","0","6.518644","1.433239","1.433239","0","5.867214","8.1375",
"01.01.2002 07:00:00","0.079824","0","0.198171","-2.594781","0","32.39405","-0.1873184","0","0","16.70027","2.072728","2.229853","0","0","-3.817531","22.0495","22.12402","22.08676","2.072728","16.70027","23.46677","0","0","0","4.69377","8.1",
"01.01.2002 08:00:00","0.219999","0","0.3343533","-2.864536","0","31.19924","-7.789883E-02","0","10.65975","12.75616","6.514289","4.532106","0","0","-8.670885","22.71591","22.3138","22.51485","6.514289","23.41591","34.4887","0","0","0","4.5585","8.1",
"01.01.2002 09:00:00","0.220917","0","0.467805","-2.814013","0","31.63671","-4.815244E-02","0","10.65975","12.75616","4.737665","6.791373","1.906108","0","-13.26212","22.69017","22.43909","22.56463","4.737665","23.41591","32.5768","0","0","0","4.423226","8.225",
"01.01.2002 10:00:00","0.201896","0","0.5051184","-3.694723","0","31.97675","-1.698155E-02","0","10.65975","12.75616","4.737665","6.788125","7.815986","0","-12.68494","22.7552","22.66487","22.71003","4.737665","23.41591","32.5768","0","0","0","4.423226","9.1125",
"01.01.2002 11:00:00","0.255037","0","0.5957955","-5.590691","0","31.56079","3.198904E-02","0.433065","10.65975","12.75616","4.737665","6.409091","22.87823","0.4251755","-12.39775","22.96797","23.0876","23.02779","4.737665","23.41591","32.5768","0.509488","0.509488","0","4.423226","10.35",
"01.01.2002 12:00:00","0.305226","0","0.7612493","-4.609431","0","30.93827","0.1129153","0.089592","10.65975","12.75616","6.514289","8.97905","33.2294","5.423629E-02","-18.12257","23.20029","23.55944","23.37986","6.514289","23.41591","36.56504","0.105403","0.105403","0","6.634841","11.4875",
"01.01.2002 13:00:00","0.288606","-1.907526","1.006171","-8.939916","-1.907526","30.34494","0.1489173","3.798226","10.65975","12.75616","6.514289","9.245575","29.26279","3.350546","-19.86486","23.28644","23.77733","23.53189","6.514289","23.41591","38.79822","4.468501","4.468501","1.059737","7.808282","12.3375",
"01.01.2002 14:00:00","0.314607","-3.089254","1.073878","-10.951","-3.089254","29.6676","0.1734303","5.457238","10.65975","12.75616","4.737665","8.668813","23.94716","4.671092","-19.87417","23.53359","23.85612","23.69485","4.737665","23.41591","36.50467","6.42028","6.42028","1.716252","6.634841","12.7875",
"01.01.2002 15:00:00","0.287117","-5.43183","0.7829873","-8.23473","-5.43183","29.88516","0.140623","2.127643","10.65975","12.75616","4.737665","5.806985","14.31979","2.068554","-16.50839","23.23624","23.71142","23.47383","4.737665","23.41591","35.59448","2.50311","2.50311","3.017683","4.423226","12.9",
"01.01.2002 16:00:00","0.266214","-4.021661","0.7042407","-6.788796","-4.021661","29.75902","0.1213093","2.224135","10.65975","12.75616","4.737665","5.79318","11.3596","2.339934","-15.37312","23.20903","23.6552","23.43212","4.737665","23.41591","34.81105","2.616629","2.616629","2.234256","4.423226","12.5875",
"01.01.2002 17:00:00","0.267902","0","0.9637298","-8.72342","0","30.49546","7.342719E-02","4.545449","10.65975","12.75616","6.514289","8.875872","0.9127266","4.210151","-17.31992","23.00438","23.42507","23.21472","6.514289","23.41591","36.56504","5.347587","5.347587","0","6.634841","11.9625",
"01.01.2002 18:00:00","0.155539","0","1.284957","-11.98034","0","31.12865","6.334551E-02","5.852122","10.65975","12.75616","6.514289","12.57404","0","5.115449","-22.46979","22.95033","23.30879","23.12956","6.514289","23.41591","38.77665","6.88485","6.88485","0","8.846453","11.45",
"01.01.2002 19:00:00","0.195393","0","1.053787","-11.20002","0","30.94158","7.968523E-02","3.34744","10.65975","22.2078","6.514289","9.992571","0","2.787084","-18.25111","23.14294","23.31189","23.22742","6.514289","32.86755","47.19012","3.938165","3.938165","0","7.808282","11.1125",
"01.01.2002 20:00:00","0.188188","0","0.6779923","-13.79898","0","31.04675","6.978907E-02","4.196713","1.065975","17.25102","3.849353","2.19617","0","3.637136","-2.603695","23.08521","23.19302","23.13912","3.849352","18.317","26.86012","4.937309","4.937309","0","4.69377","10.8125",
"01.01.2002 21:00:00","0.190216","0","0.5339429","-10.98403","0","31.1061","6.101369E-02","3.153946","1.065975","17.25102","2.072728","2.187043","0","2.611365","-2.895819","23.07087","23.10628","23.08857","2.072728","18.317","25.08349","3.710525","3.710525","0","4.69377","10.5125",
"01.01.2002 22:00:00","0.177675","0","0.4653549","-8.638219","0","31.27486","5.154157E-02","2.181784","1.065975","17.25102","2.072728","2.714259","0","1.788414","-3.901278","23.00496","23.05639","23.03068","2.072728","18.317","26.25694","2.566804","2.566804","0","5.867214","10.2125",
"01.01.2002 23:00:00","0.2134","0","0.3738912","-6.180016","0","31.92975","-1.509745E-02","2.350648","1.065975","0.550754","2.072728","2.753034","0","2.278385","-3.806666","22.51098","22.85346","22.68222","2.072728","1.616729","9.556671","2.765468","2.765468","0","5.867214","9.9125",
"02.01.2002","0.321856","0","0.2217013","-2.284863","0","32.45631","-0.0789374","0","1.065975","0.550754","0.6514289","2.805646","0","0","-4.118546","22.20033","22.688","22.44416","0.65143","1.616729","8.135373","0","0","0","5.867214","9.6125",
"02.01.2002 01:00:00","0.311721","0","0.2225613","-2.33179","0","32.8429","-0.1256302","0","0","0","0.6514289","2.837531","0","0","-4.206802","21.95749","22.53839","22.24794","0.65143","0","6.518644","0","0","0","5.867214","9.1875",
"02.01.2002 02:00:00","0.298155","0","0.2244557","-2.433134","0","32.94902","-0.164127","0","0","0","0.6514289","2.856051","0","0","-4.334076","21.77026","22.40441","22.08733","0.65143","0","6.518644","0","0","0","5.867214","8.6875",
"02.01.2002 03:00:00","0.28931","0","0.2262913","-2.544362","0","32.83994","-0.1973275","0","0","0","0.6514289","2.873084","0","0","-4.464986","21.61396","22.28374","21.94885","0.65143","0","6.518644","0","0","0","5.867214","8.1875",
"02.01.2002 04:00:00","0.277761","0","0.2272316","-2.609857","0","32.70978","-0.2278228","0","0","0","0.6514289","2.888379","0","0","-4.5578","21.47551","22.17215","21.82383","0.65143","0","6.518644","0","0","0","5.867214","7.8125",
"02.01.2002 05:00:00","0.2658","0","0.2278758","-2.656283","0","32.5708","-0.2550161","0","0","0","0.6514289","2.901272","0","0","-4.629525","21.35409","22.06864","21.71137","0.65143","0","6.518644","0","0","0","5.867214","7.5125",
