"Date/Time","Internal Natural vent.","Mech Vent + Nat Vent + Infiltration","External Infiltration","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Miscellaneous","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","Outside Dry-Bulb Temperature",
,"kW","ac/h","kW","%","","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","0","0.7140971","-11.0152","40.05385","-0.5573242","24.59148","0","24.04968","9.667961","0","1.055365","-2.476041","16","15.36134","15.68067","24.04969","0","24.04969","28.93116","28.93116","9.0625",
"01.01.2002 02:00:00","0","0.7208428","-12.02579","41.24497","-0.5542064","27.15313","0","24.04968","9.667961","0","1.860427","-2.180543","16","15.35662","15.67831","24.04969","0","24.04969","31.94487","31.94487","8.675",
"01.01.2002 03:00:00","0","0.7267722","-12.68506","41.82615","-0.5518142","28.67027","0","24.04968","9.667961","0","2.416462","-1.96267","16","15.35106","15.67553","24.04969","0","24.04969","33.72973","33.72973","8.475",
"01.01.2002 04:00:00","0","0.730261","-13.11757","41.52188","-0.5528113","29.74708","0","24.04968","9.667961","0","2.814346","-1.793924","16","15.34449","15.67225","24.04969","0","24.04969","34.99657","34.99657","8.3375",
"01.01.2002 05:00:00","0","0.7323289","-13.41111","41.06278","-0.5547656","30.57335","0","24.04968","9.667961","0","3.138213","-1.662066","16","15.33692","15.66846","24.04969","0","24.04969","35.96865","35.96865","8.2375",
"01.01.2002 06:00:00","0","0.7335798","-13.65941","40.65334","-0.5569689","31.3817","0","24.04968","9.667961","0","3.447324","-1.539442","16","15.32835","15.66418","24.04969","0","24.04969","36.91965","36.91965","8.1375",
"01.01.2002 07:00:00","0","0.7341675","-13.75972","40.54464","-0.557972","31.82155","0","24.04968","9.667961","0","3.675207","-1.465131","16","15.31904","15.65952","24.04969","0","24.04969","37.43712","37.43712","8.1",
"01.01.2002 08:00:00","0","0.7344074","-13.77631","40.08198","-0.5599685","32.07056","0","24.04968","9.667961","0","3.861703","-1.396976","16","15.30843","15.65421","24.04969","0","24.04969","37.73008","37.73008","8.1",
"01.01.2002 09:00:00","0","0.7300803","-13.30914","39.7463","-0.5603449","30.79851","0","24.04968","9.667961","3.507734","3.312398","-1.654999","16","15.3244","15.6622","24.04969","0","24.04969","36.23355","36.23355","8.225",
"01.01.2002 10:00:00","0","0.7091052","-10.72972","40.04238","-0.551798","22.5545","0","24.04968","9.667961","14.86937","0.390261","-3.657412","16","15.44127","15.72063","24.04969","0","24.04969","26.5347","26.5347","9.1125",
"01.01.2002 11:00:00","0","0.6828529","-7.691569","40.2775","-0.5452505","13.35674","0","24.04968","9.667961","18.78178","0","-7.824565","16","15.51771","15.75885","24.04969","0","24.04969","15.71381","15.71381","10.35",
"01.01.2002 12:00:00","0.013448","0.65644","-5.270492","39.77806","-0.5397826","5.225811","0","24.04968","9.667733","24.77745","0","-11.71699","16.0066","15.61552","15.81106","24.04969","0","24.04969","6.148013","6.148013","11.4875",
"01.01.2002 13:00:00","0.197782","0.6371521","-3.923558","39.33123","-0.5296659","2.577088","0","24.04968","9.639671","25.22253","0","-11.59536","16.11746","15.67658","15.89702","24.04969","0","24.04969","3.031868","3.031868","12.3375",
"01.01.2002 14:00:00","0.370275","0.6313046","-3.489423","39.03641","-0.5165394","1.811407","0","24.04968","9.591134","22.8599","0","-11.11531","16.23511","15.69843","15.96677","24.04969","0","24.04969","2.131067","2.131067","12.7875",
"01.01.2002 15:00:00","0.401848","0.6308236","-3.395775","39.0755","-0.5160816","2.114013","0","24.04968","9.575492","15.04439","0","-10.46852","16.25578","15.64865","15.95222","24.04969","0","24.04969","2.487074","2.487074","12.9",
"01.01.2002 16:00:00","0.342912","0.6385833","-3.834367","39.71862","-0.5219268","3.101269","0","24.04968","9.587488","9.657681","0","-10.45629","16.20291","15.58721","15.89506","24.04969","0","24.04969","3.648552","3.648552","12.5875",
"01.01.2002 17:00:00","0.115311","0.651891","-4.648802","41.10292","-0.5376531","5.265423","0","24.04968","9.632912","0.7700054","8.911059E-02","-10.18625","16.05833","15.47251","15.76542","24.04969","0","24.04969","6.194615","6.194615","11.9625",
"01.01.2002 18:00:00","0.000061","0.6637444","-5.504246","42.27985","-0.5466945","9.249707","0","24.04968","9.667782","0","0.5136062","-8.332969","16.00002","15.41219","15.70611","24.04969","0","24.04969","10.88201","10.88201","11.45",
"01.01.2002 19:00:00","0","0.6727281","-6.231196","42.88261","-0.5459796","11.70043","0","24.04968","9.667961","0","0.6956578","-7.330104","16","15.38726","15.69363","24.04969","0","24.04969","13.76521","13.76521","11.1125",
"01.01.2002 20:00:00","0","0.6791602","-6.85581","43.03157","-0.5460894","13.66192","0","24.04968","9.667961","0","0.7384878","-6.536842","16","15.37604","15.68802","24.04969","0","24.04969","16.07285","16.07285","10.8125",
"01.01.2002 21:00:00","0","0.6857399","-7.514704","43.22412","-0.5458047","15.51947","0","24.04968","9.667961","0","0.7132202","-5.779707","16","15.37107","15.68553","24.04969","0","24.04969","18.2582","18.2582","10.5125",
"01.01.2002 22:00:00","0","0.6931148","-8.237597","43.10696","-0.5459536","17.39173","0","24.04968","9.667961","0","0.6632928","-4.978759","16","15.36836","15.68418","24.04969","0","24.04969","20.46086","20.46086","10.2125",
"01.01.2002 23:00:00","0","0.7021003","-9.070383","42.02232","-0.5487123","19.39245","0","24.04968","9.667961","0","0.623948","-4.049174","16","15.36516","15.68258","24.04969","0","24.04969","22.81465","22.81465","9.9125",
"02.01.2002","0","0.7071813","-9.75802","40.23261","-0.5549823","21.2315","0","24.04968","9.667961","0","0.5822418","-3.287529","16","15.36251","15.68125","24.04969","0","24.04969","24.97823","24.97823","9.6125",
"02.01.2002 01:00:00","0","0.7148966","-10.79702","39.40474","-0.5586591","23.93156","0","24.04968","9.667961","0","0.9241353","-2.521065","16","15.35887","15.67944","24.04969","0","24.04969","28.15477","28.15477","9.1875",
"02.01.2002 02:00:00","0","0.7265373","-12.21907","38.68555","-0.5613578","27.37073","0","24.04968","9.667961","0","2.033783","-2.058337","16","15.35252","15.67626","24.04969","0","24.04969","32.20087","32.20087","8.6875",
"02.01.2002 03:00:00","0","0.7372136","-13.66932","37.97553","-0.5644535","30.86489","0","24.04968","9.667961","0","3.185936","-1.588428","16","15.34513","15.67256","24.04969","0","24.04969","36.31164","36.31164","8.1875",
"02.01.2002 04:00:00","0","0.7447782","-14.77591","37.72232","-0.566133","33.55444","0","24.04968","9.667961","0","4.105711","-1.223962","16","15.33722","15.66861","24.04969","0","24.04969","39.47581","39.47581","7.8125",
"02.01.2002 05:00:00","0.015115","0.7904307","-22.18926","33.16526","-0.4229315","96.3012","0","24.04968","9.113213","0","66.11872","-11.79171","18.05317","15.48046","16.76681","24.04969","0","24.04969","113.2955","113.2955","7.5125",
"02.01.2002 06:00:00","0","1.55749","-23.21709","34.18017","-0.3540288","86.05261","64.93415","60.12421","22.32074","0","7.904812E-02","-15.09643","18","15.88813","16.94407","60.12421","64.93415","125.0584","101.2384","101.2384","7.2125",
"02.01.2002 07:00:00","0","2.32425","-24.19629","34.99047","-0.3383925","120.9098","32.46708","96.19874","35.71319","0","0","-44.37722","18","16.06091","17.03046","96.19874","32.46708","128.6658","142.2468","142.2468","6.975",
"02.01.2002 08:00:00","0","2.836057","-24.99496","34.76036","-0.3291408","137.7881","32.46708","120.2484","44.64148","0","0","-72.55579","18","16.19359","17.09679","120.2484","32.46708","152.7155","162.1037","162.1037","6.775",
"02.01.2002 09:00:00","0","2.837756","-25.29408","33.7767","-0.3254869","136.7957","32.46708","120.2484","44.64148","0.6300941","0","-74.89853","18","16.2914","17.1457","120.2484","32.46708","152.7155","160.9361","160.9361","6.7",
