"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Computer + Equip","Occupancy","Solar Gains Interior Windows","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","Cooling (Electricity)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","kW","ac/h","kW","kW","%","","kW","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","-0.141593","0","0.1731989","-19.66712","0","36.38356","-1.593534","25.18569","0","0","0","0","0","25.18569","0","17.03479","16.98632","17.01056","0","0","0","29.63022","29.63022","0","0","9.0625",
"01.01.2002 02:00:00","-0.111335","0","0.1770415","-21.09621","0","36.57314","-1.598167","27.46166","0","0","0","0","0","27.46166","0","17.02678","16.948","16.98739","0","0","0","32.30784","32.30784","0","0","8.675",
"01.01.2002 03:00:00","-0.083599","0","0.1802522","-21.99384","0","36.7074","-1.602135","29.10252","0","0","0","0","0","29.10252","0","17.01976","16.9126","16.96618","0","0","0","34.23826","34.23826","0","0","8.475",
"01.01.2002 04:00:00","-0.055791","0","0.1825299","-22.6291","0","36.67308","-1.606714","30.40874","0","0","0","0","0","30.40874","0","17.01302","16.87898","16.946","0","0","0","35.77499","35.77499","0","0","8.3375",
"01.01.2002 05:00:00","-0.030027","0","0.1841531","-23.09306","0","36.5731","-1.61129","31.50422","0","0","0","0","0","31.50422","0","17.00694","16.84804","16.92749","0","0","0","37.06379","37.06379","0","0","8.2375",
"01.01.2002 06:00:00","-0.006015","0","0.1851913","-23.48725","0","36.43218","-1.616059","32.56447","0","0","0","0","0","32.56447","0","17.00138","16.81783","16.90961","0","0","0","38.31115","38.31115","0","0","8.1375",
"01.01.2002 07:00:00","0","0","0.1857969","-23.66332","0","36.32539","-1.619834","33.46058","0","0","0","0","0","33.46058","0","17","16.79038","16.89519","0","0","0","39.36538","39.36538","0","0","8.1",
"01.01.2002 08:00:00","0","0","0.1862905","-23.72597","0","36.10203","-1.623676","34.24047","0","0","0","0","0","34.24047","0","17","16.76323","16.88161","0","0","0","40.28291","40.28291","0","0","8.1",
"01.01.2002 09:00:00","-0.008343","0","0.1841237","-23.12217","0","35.86251","-1.61815","31.86122","0","0","0","0.567996","18.29167","31.86122","0","17.00194","16.82621","16.91408","0","0","0","37.48378","37.48378","0","0","8.225",
"01.01.2002 10:00:00","-0.448497","0","0.1718618","-19.43733","0","35.57005","-1.55902","17.6842","0","0","0","2.870131","93.80603","17.6842","0","17.09661","17.32122","17.20891","0","0","0","20.80494","20.80494","0","0","9.1125",
"01.01.2002 11:00:00","-1.677575","0","0.1588936","-15.19433","0","34.95214","-1.481907","7.71984","0","0","0","4.051493","128.3181","7.71984","0","17.3586","17.75551","17.55706","0","0","0","9.082164","9.082164","0","0","10.35",
"01.01.2002 12:00:00","-2.86764","0","0.1474717","-11.81151","0","34.07966","-1.403394","2.586329","0","0","0","4.623828","146.7458","2.586329","0","17.67371","18.11754","17.89563","0","0","0","3.04274","3.04274","0","0","11.4875",
"01.01.2002 13:00:00","-3.212822","0","0.1378335","-9.47244","0","33.56237","-1.362065","0.488788","0","0","0","4.388913","133.7783","0.4887879","0","17.84519","18.24394","18.04457","0","0","0","0.575045","0.575045","0","0","12.3375",
"01.01.2002 14:00:00","-2.994931","0","0.1324109","-8.400884","0","33.27678","-1.34739","0","0","0","0","3.96337","120.0354","0","0","17.91924","18.28383","18.10153","0","0","0","0","0","0","0","12.7875",
"01.01.2002 15:00:00","-2.568299","0","0.1301571","-8.069881","0","33.30229","-1.365901","0","0","0","0","2.646476","82.26612","0","0","17.85765","18.13507","17.99636","0","0","0","0","0","0","0","12.9",
"01.01.2002 16:00:00","-2.132555","0","0.1325135","-8.783331","0","33.5379","-1.389594","0","0","0","0","2.096927","69.44565","0","0","17.7577","18.0443","17.901","0","0","0","0","0","0","0","12.5875",
