"Date/Time","Internal Natural vent.","Sensible Cooling","Mech Vent + Nat Vent + Infiltration","External Infiltration","Total Cooling","Relative Humidity","Fanger PMV","Zone Heating","General Lighting","Computer + Equip","Occupancy","Solar Gains Exterior Windows","Zone Sensible Heating","Zone Sensible Cooling","Air Temperature","Radiant Temperature","Operative Temperature","Room Electricity","Lighting","Electricity","Gas","Heating (Gas)","Cooling (Electricity)","DHW (Electricity)","Outside Dry-Bulb Temperature",
,"kW","kW","ac/h","kW","kW","%","","kW","kW","kW","kW","kW","kW","kW","°C","°C","°C","kW","kW","kW","kW","kW","kW","kW","°C",
"01.01.2002 01:00:00","0","0","0.1735258","-8.678574","0","36.39374","-1.649423","17.75848","0","0","0","0","17.75848","0","17","16.51021","16.7551","0","0","0","20.89233","20.89233","0","0","9.0625",
"01.01.2002 02:00:00","0","0","0.1777633","-9.3302","0","36.55447","-1.651686","18.80516","0","0","0","0","18.80515","0","17","16.48486","16.74243","0","0","0","22.12372","22.12372","0","0","8.675",
"01.01.2002 03:00:00","0","0","0.1813113","-9.74503","0","36.70401","-1.653299","19.58605","0","0","0","0","19.58605","0","17","16.46169","16.73084","0","0","0","23.0424","23.0424","0","0","8.475",
"01.01.2002 04:00:00","0","0","0.183814","-10.03839","0","36.68805","-1.655535","20.21128","0","0","0","0","20.21128","0","17","16.4398","16.7199","0","0","0","23.77797","23.77797","0","0","8.3375",
"01.01.2002 05:00:00","0","0","0.1856004","-10.25279","0","36.58701","-1.658064","20.7422","0","0","0","0","20.7422","0","17","16.41967","16.70984","0","0","0","24.40258","24.40258","0","0","8.2375",
"01.01.2002 06:00:00","0","0","0.1868103","-10.43714","0","36.43172","-1.66092","21.22688","0","0","0","0","21.22688","0","17","16.40001","16.7","0","0","0","24.9728","24.9728","0","0","8.1375",
"01.01.2002 07:00:00","0","0","0.1874537","-10.51729","0","36.31744","-1.663391","21.58042","0","0","0","0","21.58042","0","17","16.38188","16.69094","0","0","0","25.38873","25.38873","0","0","8.1",
"01.01.2002 08:00:00","0","0","0.1879663","-10.54593","0","36.09704","-1.666276","21.90559","0","0","0","0","21.90559","0","17","16.36349","16.68175","0","0","0","25.77129","25.77129","0","0","8.1",
"01.01.2002 09:00:00","0","0","0.1857833","-10.2775","0","35.85957","-1.66473","21.12634","0","0","0","4.551754","21.12634","0","17","16.38956","16.69478","0","0","0","24.85451","24.85451","0","0","8.225",
"01.01.2002 10:00:00","0","0","0.1725748","-8.594004","0","35.77827","-1.633235","14.79209","0","0","0","30.54109","14.79209","0","17","16.69095","16.84547","0","0","0","17.40246","17.40246","0","0","9.1125",
"01.01.2002 11:00:00","0.010435","0","0.1558635","-6.561024","0","35.68595","-1.577913","4.979092","0","0","0","60.59272","4.979093","0","17.0271","17.19661","17.11185","0","0","0","5.857755","5.857755","0","0","10.35",
"01.01.2002 12:00:00","-0.029665","0","0.1418777","-5.023491","0","35.15065","-1.535047","1.108109","0","0","0","61.69141","1.108109","0","17.18316","17.44467","17.31392","0","0","0","1.303658","1.303658","0","0","11.4875",
"01.01.2002 13:00:00","-0.055045","0","0.1300662","-3.934637","0","34.8523","-1.518913","0.074529","0","0","0","54.24975","7.452891E-02","0","17.24694","17.4826","17.36477","0","0","0","0.087681","0.087681","0","0","12.3375",
"01.01.2002 14:00:00","0.017598","0","0.1231828","-3.443985","0","34.62535","-1.511394","0","0","0","0","50.5829","0","0","17.29284","17.51192","17.40238","0","0","0","0","0","0","0","12.7875",
"01.01.2002 15:00:00","0.102974","0","0.1201042","-3.286789","0","34.62043","-1.524388","0","0","0","0","36.07616","0","0","17.25098","17.39907","17.32503","0","0","0","0","0","0","0","12.9",
"01.01.2002 16:00:00","0.060719","0","0.121646","-3.464748","0","34.93451","-1.564653","2.018118","0","0","0","18.79717","2.018475","0","17.11562","17.17606","17.14584","0","0","0","2.374257","2.374257","0","0","12.5875",
"01.01.2002 17:00:00","0.002005","0","0.1279242","-4.067954","0","35.3812","-1.612593","6.978836","0","0","0","1.204848","6.979422","0","17.00657","16.87887","16.94272","0","0","0","8.210395","8.210395","0","0","11.9625",
"01.01.2002 18:00:00","0","0","0.1355371","-4.741352","0","35.73953","-1.628154","10.10486","0","0","0","0","10.10486","0","17","16.74462","16.87231","0","0","0","11.88807","11.88807","0","0","11.45",
"01.01.2002 19:00:00","0","0","0.1415644","-5.250998","0","36.11377","-1.633536","11.69498","0","0","0","0","11.69498","0","17","16.67695","16.83847","0","0","0","13.7588","13.7588","0","0","11.1125",
"01.01.2002 20:00:00","0","0","0.1462405","-5.699005","0","36.4394","-1.636574","12.80506","0","0","0","0","12.80506","0","17","16.63339","16.8167","0","0","0","15.06478","15.06478","0","0","10.8125",
"01.01.2002 21:00:00","0","0","0.1508909","-6.163669","0","36.77542","-1.638417","13.76852","0","0","0","0","13.76852","0","17","16.60088","16.80044","0","0","0","16.19826","16.19826","0","0","10.5125",
"01.01.2002 22:00:00","0","0","0.1565139","-6.68718","0","37.03386","-1.640061","14.73288","0","0","0","0","14.73288","0","17","16.57218","16.78609","0","0","0","17.3328","17.3328","0","0","10.2125",
"01.01.2002 23:00:00","0","0","0.1632214","-7.280021","0","36.99945","-1.642815","15.79556","0","0","0","0","15.79556","0","17","16.54326","16.77163","0","0","0","18.58301","18.58301","0","0","9.9125",
"02.01.2002","0","0","0.1679264","-7.803937","0","36.58756","-1.647285","16.70022","0","0","0","0","16.70022","0","17","16.51752","16.75876","0","0","0","19.64731","19.64731","0","0","9.6125",
"02.01.2002 01:00:00","0","0","0.1736823","-8.53435","0","36.18271","-1.651568","14.91759","0","3.587994","0","0","14.91759","0","17","16.4961","16.74805","3.587994","0","3.587994","17.5501","17.5501","0","0","9.1875",
"02.01.2002 02:00:00","0","0","0.1813571","-9.478895","0","35.7049","-1.656533","16.33283","0","3.587994","0","0","16.33283","0","17","16.46991","16.73495","3.587994","0","3.587994","19.21509","19.21509","0","0","8.6875",
"02.01.2002 03:00:00","0","0","0.188385","-10.43472","0","35.15319","-1.66202","17.75558","0","3.587994","0","0","17.75558","0","17","16.44347","16.72174","3.587994","0","3.587994","20.88892","20.88892","0","0","8.1875",
"02.01.2002 04:00:00","0","0","0.1929335","-11.13711","0","34.68975","-1.667037","18.88734","0","3.587994","0","0","18.88734","0","17","16.41857","16.70929","3.587994","0","3.587994","22.22041","22.22041","0","0","7.8125",
"02.01.2002 05:00:00","0","0","0.1962414","-11.69492","0","34.33225","-1.671396","19.83054","0","3.587994","0","0","19.83054","0","17","16.39552","16.69776","3.587994","0","3.587994","23.33005","23.33005","0","0","7.5125",
"02.01.2002 06:00:00","0.101339","0","0.2446394","-20.72294","0","26.95101","-1.268602","152.4552","0","3.587994","0","0","145.4254","0","20.82509","16.76513","18.79511","3.587994","0","3.587994","179.359","179.359","0","0","7.2125",
"02.01.2002 07:00:00","0","0","0.251664","-21.85208","0","26.57247","-1.07716","116.563","0","3.587994","0","0","116.563","0","21","17.14392","19.07196","3.587994","0","3.587994","137.1329","137.1329","0","0","6.975",
"02.01.2002 08:00:00","0","0","0.3922107","-22.40698","0","26.76446","-1.030186","77.41164","81.49871","7.175987","5.97601","0","65.29829","0","21","17.58007","19.29003","7.175988","81.49871","100.4377","91.07252","91.07252","0","11.76299","6.775",
"02.01.2002 09:00:00","0","0","0.5320606","-22.69958","0","27.18216","-0.9967121","71.87929","81.49871","14.35197","11.95202","1.803964","47.54249","0","21","17.86098","19.43049","14.35198","81.49871","119.3767","84.56387","84.56387","0","23.52599","6.7",
"02.01.2002 10:00:00","0","0","0.6674767","-22.17828","0","27.77113","-0.9651017","65.73358","81.49871","21.52796","17.92803","9.378558","29.68634","0","21","18.12769","19.56384","21.52796","81.49871","138.3156","77.33362","77.33362","0","35.28897","6.8875",
"02.01.2002 11:00:00","0","0","0.8014966","-21.25515","0","29.06284","-0.9292597","58.59614","81.49871","28.70395","23.90404","16.59224","12.09203","-0.3490361","21","18.38944","19.69472","28.70395","81.49871","157.2546","68.93664","68.93664","0","47.05197","7.25",
"02.01.2002 12:00:00","0","0","0.7986301","-20.56245","0","30.25096","-0.9012762","51.90459","81.49871","28.70395","23.90404","18.29119","8.884768","-2.910804","21","18.57672","19.78836","28.70395","81.49871","157.2546","61.06423","61.06423","0","47.05197","7.525",
"02.01.2002 13:00:00","0","0","0.5225728","-20.42651","0","30.8007","-0.8898534","46.66171","81.49871","14.35197","11.95202","14.65387","23.83935","0","21","18.63566","19.81783","14.35198","81.49871","119.3767","54.89612","54.89612","0","23.52599","7.6",
"02.01.2002 14:00:00","0","0","0.6612252","-20.48282","0","30.77069","-0.8811524","45.95444","81.49871","21.52796","17.92803","13.41327","11.71228","-2.208799E-03","21","18.71726","19.85863","21.52796","81.49871","138.3156","54.06405","54.06405","0","35.28897","7.6",
"02.01.2002 15:00:00","0","0","0.7993656","-20.60222","0","31.17166","-0.8707069","45.52453","81.49871","28.70395","23.90404","11.15555","6.222735","-6.598921","21","18.80004","19.90002","28.70395","81.49871","157.2546","53.55826","53.55826","0","47.05197","7.5375",
"02.01.2002 16:00:00","0","0","0.8006445","-20.87111","0","32.0032","-0.8622667","45.11049","81.49871","28.70395","23.90404","6.053366","5.973918","-7.114875","21","18.83136","19.91568","28.70395","81.49871","157.2546","53.07116","53.07116","0","47.05197","7.4375",
"02.01.2002 17:00:00","0","0","0.5274321","-21.46379","0","32.27404","-0.8632449","43.35985","81.49871","14.35197","11.95202","0.703878","19.86356","0","21","18.79516","19.89758","14.35198","81.49871","119.3767","51.01159","51.01159","0","23.52599","7.2125",
"02.01.2002 18:00:00","0","0","0.391881","-22.24809","0","32.25507","-0.8642007","42.51212","81.49871","7.175987","5.97601","0","30.4446","0","21","18.78959","19.89479","7.175988","81.49871","100.4377","50.01425","50.01425","0","11.76299","6.85",
"02.01.2002 19:00:00","0","0","0.2588684","-23.42663","0","32.30772","-0.8678913","40.106","81.49871","3.587994","0","0","40.106","0","21","18.74831","19.87416","3.587994","81.49871","85.08671","47.18353","47.18353","0","0","6.3875",
"02.01.2002 20:00:00","-0.835443","0","0.2415722","-18.76727","0","36.49292","-1.085075","0","0","3.587994","0","0","0","0","18.9356","18.31188","18.62374","3.587994","0","3.587994","0","0","0","0","6.2",
"02.01.2002 21:00:00","-0.942249","0","0.22499","-15.8493","0","39.52322","-1.380605","2.052707","0","3.587994","0","0","2.057485","0","17.5895","17.90706","17.74828","3.587994","0","3.587994","2.414949","2.414949","0","0","6.0125",
"02.01.2002 22:00:00","-0.287158","0","0.2194287","-15.62795","0","41.02322","-1.474016","5.44715","0","3.587994","0","0","5.447151","0","17.15974","17.66506","17.4124","3.587994","0","3.587994","6.408412","6.408412","0","0","5.7125",
"02.01.2002 23:00:00","-0.034561","0","0.2217055","-16.17197","0","41.99331","-1.507697","7.55274","0","3.587994","0","0","7.552809","0","17.039","17.50804","17.27352","3.587994","0","3.587994","8.885577","8.885577","0","0","5.4125",
"03.01.2002","0.00038","0","0.2252607","-16.83816","0","42.50039","-1.52471","10.09248","0","3.587994","0","0","10.09252","0","17.00065","17.39945","17.20005","3.587994","0","3.587994","11.8735","11.8735","0","0","5.1125",
"03.01.2002 01:00:00","0","0","0.2276652","-17.27189","0","42.8265","-1.531724","12.06592","0","3.587994","0","0","12.06592","0","17","17.32282","17.16141","3.587994","0","3.587994","14.1952","14.1952","0","0","4.9375",
"03.01.2002 02:00:00","0","0","0.2283829","-17.38483","0","43.04083","-1.53688","13.25329","0","3.587994","0","0","13.25329","0","17","17.26388","17.13194","3.587994","0","3.587994","15.5921","15.5921","0","0","4.9",
"03.01.2002 03:00:00","0","0","0.229392","-17.55649","0","43.16568","-1.541631","14.32366","0","3.587994","0","0","14.32366","0","17","17.21291","17.10645","3.587994","0","3.587994","16.85136","16.85136","0","0","4.8375",
"03.01.2002 04:00:00","0","0","0.2299758","-17.66","0","43.2041","-1.546254","15.20796","0","3.587994","0","0","15.20796","0","17","17.16725","17.08363","3.587994","0","3.587994","17.89172","17.89172","0","0","4.8",
"03.01.2002 05:00:00","0","0","0.2299708","-17.66437","0","43.20577","-1.550614","15.9081","0","3.587994","0","0","15.9081","0","17","17.12621","17.0631","3.587994","0","3.587994","18.71541","18.71541","0","0","4.8",
"03.01.2002 06:00:00","0.082453","0","0.2716998","-27.02379","0","34.0542","-1.152097","141.4992","0","3.587994","0","0","134.5471","0","20.82713","17.44215","19.13464","3.587994","0","3.587994","166.4697","166.4697","0","0","4.8625",
"03.01.2002 07:00:00","0","0","0.2749443","-27.50088","0","33.67151","-0.9655552","102.1182","0","3.587994","0","0","102.1183","0","21","17.76721","19.38361","3.587994","0","3.587994","120.1391","120.1391","0","0","4.9",
"03.01.2002 08:00:00","0","0","0.4129184","-27.55981","0","33.89878","-0.921125","65.68227","81.49871","7.175987","5.97601","0","51.94344","0","21","18.17544","19.58772","7.175988","81.49871","100.4377","77.27327","77.27327","0","11.76299","4.9",
"03.01.2002 09:00:00","0","0","0.548098","-26.91959","0","34.41661","-0.8871861","60.83994","81.49871","14.35197","11.95202","3.778696","33.79599","0","21","18.4588","19.7294","14.35198","81.49871","119.3767","71.5764","71.5764","0","23.52599","5.15",
"03.01.2002 10:00:00","0","0","0.6682001","-22.82317","0","35.10452","-0.8457187","47.52269","81.49871","21.52796","17.92803","15.63476","12.41459","-1.562405","21","18.80524","19.90262","21.52796","81.49871","138.3156","55.90905","55.90905","0","35.28897","6.675",
