H1,H2,H3,H4,H5,H6,H7,H8,H9,HC1,HC2,HC3,HC4,HC5,HC6,HC7,HC8,I1,I2,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10,O11,P1,P2,S1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8.1636516136,7.5599054441,6.0753849184,5.1008348048,10.6356393332,2.8102622408,2.5536065324,2.4582905413,2.9647688963,4.829988282,8.6565568544,7.1533698544,7.2989488756,4.1168940226,2.6936707263,2.8978805324,1.7219959512,11.0633993607,3.7318972264,1.402857484,7.341372241,5.4879379212,5.8584344571,0.9584340388,1.4700001456,1.4700000644,4.0991978384,3.5839999104,4.7264004816,1.6251882248,4.7040005404,1.6799949964,9.371537112
135.520014219,126.3618437575,101.2060913416,84.8379693291,170.7266324193,33.8153961662,30.0315839034,27.6993722342,33.5357435694,69.6976372081,144.0828506824,118.9159244907,116.4748530974,51.4646593418,32.8101739655,34.8483579466,20.9893106181,194.1873146842,43.6694438046,21.9929408233,119.0654120418,89.0991898972,89.0671355644,15.0508663452,18.369043065,18.283523039,51.0731259929,45.0169854809,57.7771633617,20.0429528611,58.5662365652,17.8592581866,135.0170662288
